Student_Name,Gender,Stream,Branch,Semester,10th_%,10th_Board,10th_Passout_Year,12th_%,12th_Education,12th_Passout_Year,University_Admission_Year,CGPA,Attendance_%,Backlog,Top_Certification,Internship_Status,Projects_Count,Placement_Status
s1,Male,B.Tech,IT,1,79.07,CBSE,2024,84.44,CBSE - Science,2026.0,2026,8.68,90.0,No,Cisco CCNA,Not Yet,2,Not Placed
s2,Male,Diploma,Diploma Mechanical,1,74.22,State Board,2025,,Diploma (Lateral Entry),,2026,5.2,75.0,Yes,ETABS,Not Yet,3,Not Placed
s3,Male,BCA,Computer Applications,1,63.83,CBSE,2023,69.28,ISC - Arts,2025.0,2026,7.11,87.0,No,Cisco CCNA,Not Yet,2,Not Placed
s4,Female,M.Tech,Communication Systems,2,72.03,CBSE,2020,67.85,CBSE - Science,2022.0,2026,7.47,89.0,No,Python,Not Yet,1,Not Placed
s5,Male,Diploma,Diploma Electrical,6,85.0,CBSE,2024,,Diploma (Lateral Entry),,2024,8.57,90.0,Yes,No Certification,Ongoing - Wipro,2,Placed - Accenture
s6,Female,M.Tech,Power Systems,3,80.24,State Board,2019,92.9,ISC - Science,2021.0,2025,9.4,94.0,No,ANSYS,Completed - IBM,2,Placed - NTPC
s7,Male,B.Tech,Civil,5,62.43,ICSE,2022,78.45,CBSE - Science,2024.0,2024,8.14,91.0,No,No Certification,Completed - NTPC,1,Not Placed
s8,Female,B.Tech,CSE,3,84.21,State Board,2022,67.66,CBSE - Science,2024.0,2025,9.54,96.0,No,ML,Completed - HCL,5,Not Placed
s9,Male,B.Tech,Civil,8,71.05,CBSE,2021,88.05,State Board - Science,2023.0,2023,7.49,67.0,No,No Certification,Not Yet,1,Not Placed
s10,Male,B.Tech,Civil,3,82.14,ICSE,2022,73.72,CHSE Odisha - Science,2024.0,2025,7.25,57.0,Yes (Cleared),No Certification,Not Yet,1,Not Placed
